Article_number;Stock;Stock_BE;ETA;ETA_Confirmed;Status;Classe_comm;last_update
09950/10/30;0;105;15/10/2026;27/07/2026;;Competitive;13.07.2026
09950/10/31;0;137;;;;Competitive;13.07.2026
09950/10/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/11/30;0;114;15/10/2026;03/08/2026;;Competitive;13.07.2026
09950/11/31;0;113;;;;Competitive;13.07.2026
09950/11/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/13/30;0;59;;;;Competitive;13.07.2026
09950/13/31;0;40;;;;Competitive;13.07.2026
09950/13/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/20/31;0;66;;;;Competitive;13.07.2026
09951/01/30;0;398;15/09/2026;27/07/2026;;Competitive;13.07.2026
09951/01/31;0;190;15/09/2026;10/08/2026;;Competitive;13.07.2026
09951/01/41;0;0;;;New Phase 1;Essential;13.07.2026
09952/01/30;0;181;;;;Competitive;13.07.2026
09952/01/31;0;123;15/10/2026;;;Competitive;13.07.2026
09953/01/30;0;67;;27/07/2026;;Competitive;13.07.2026
09953/01/31;0;87;;;;Competitive;13.07.2026
09954/01/30;0;103;;;;Competitive;13.07.2026
09954/01/31;0;84;;;;Competitive;13.07.2026
09955/01/02;0;103;15/10/2026;;;Competitive;13.07.2026
09955/01/30;0;201;15/10/2026;31/08/2026;;Competitive;13.07.2026
09955/01/31;0;125;;;;Competitive;13.07.2026
09955/01/41;0;0;;;New Phase 1;Essential;13.07.2026
09956/01/30;0;96;;;;Competitive;13.07.2026
09956/01/31;0;64;;;;Competitive;13.07.2026
09957/01/30;0;191;;;;Competitive;13.07.2026
09957/01/31;0;109;;;;Competitive;13.07.2026
09957/01/41;0;0;;;New Phase 1;Essential;13.07.2026
09958/01/02;0;379;;;;Competitive;13.07.2026
09959/30/61;0;141;;;;Competitive;13.07.2026
09959/30/65;0;120;;;;Competitive;13.07.2026
09959/31/61;0;137;;;;Competitive;13.07.2026
09960/01/02;0;155;;;;Competitive;13.07.2026
09960/01/30;0;157;15/09/2026;31/08/2026;;Competitive;13.07.2026
09960/01/31;0;500;;;;Competitive;13.07.2026
09960/01/41;0;0;;;New Phase 1;Essential;13.07.2026
09960/01/97;0;217;;;;Competitive;13.07.2026
09961/01/30;0;127;;;;Competitive;13.07.2026
09961/01/31;0;111;;;;Competitive;13.07.2026
09961/01/41;0;0;;;New Phase 1;Essential;13.07.2026
09961/01/97;0;101;;;;Competitive;13.07.2026
09962/01/30;0;80;;;New Phase 2;Essential;13.07.2026
09962/01/31;0;81;;;New Phase 2;Essential;13.07.2026
09962/01/41;0;0;;;New Phase 1;Essential;13.07.2026
09962/01/97;0;81;;;New Phase 2;Essential;13.07.2026
10120/32/72;0;37;;;;Neutral;13.07.2026
10121/30/30;0;192;;;;Competitive;13.07.2026
10125/30/41;0;343;;10/08/2026;;Neutral;13.07.2026
10125/30/53;0;52;15/10/2026;;;Neutral;13.07.2026
10202/01/30;0;202;31/08/2026;10/08/2026;;Competitive;13.07.2026
10220/01/72;0;172;;;;Neutral;13.07.2026
10402/01/30;0;213;30/09/2026;10/08/2026;;Competitive;13.07.2026
10409/01/33;0;62;;;;Competitive;13.07.2026
10409/01/35;0;40;;;;Competitive;13.07.2026
10409/01/66;0;60;;10/08/2026;;Competitive;13.07.2026
10413/03/72;0;81;15/10/2026;;;Competitive;13.07.2026
10413/50/72;0;72;;;;Competitive;13.07.2026
10413/70/72;0;98;;;;Competitive;13.07.2026
10416/01/33;0;9;;;Liquidation;Competitive;13.07.2026
10420/03/72;0;30;;;;Neutral;13.07.2026
10420/32/72;0;0;;;;Neutral;13.07.2026
10421/13/30;0;243;;;;Competitive;13.07.2026
10421/30/30;0;0;;;Liquidation;Competitive;13.07.2026
10421/30/36;0;0;;;Liquidation;Competitive;13.07.2026
10421/30/66;0;248;;;;Competitive;13.07.2026
10421/30/73;0;0;;;Liquidation;Competitive;13.07.2026
10423/30/02;0;92;;;;Competitive;13.07.2026
10423/30/30;0;192;;;;Competitive;13.07.2026
10423/40/02;0;79;;;;Competitive;13.07.2026
10423/40/30;0;215;;;;Competitive;13.07.2026
10450/47/30;0;50;;;;Premium;13.07.2026
10450/47/43;0;73;;;;Premium;13.07.2026
10500/81/34;0;92;;;;Competitive;13.07.2026
10500/81/43;0;74;;;;Competitive;13.07.2026
10500/81/66;0;165;;;;Competitive;13.07.2026
10501/81/30;1;77;;;;Competitive;13.07.2026
10501/81/37;0;176;;;;Competitive;13.07.2026
10502/81/30;0;32;;10/08/2026;;Competitive;13.07.2026
10503/81/30;0;65;;;;Competitive;13.07.2026
10505/81/02;0;83;;;;Competitive;13.07.2026
10505/81/30;0;229;;;;Competitive;13.07.2026
10506/81/02;0;56;;;;Competitive;13.07.2026
10508/01/33;0;55;;;;Competitive;13.07.2026
10508/01/35;0;82;;;;Competitive;13.07.2026
10508/01/66;0;58;;10/08/2026;;Competitive;13.07.2026
10509/81/33;1;61;;;;Competitive;13.07.2026
10509/81/35;0;54;;;;Competitive;13.07.2026
10509/81/66;0;73;;;;Competitive;13.07.2026
10513/40/72;0;208;;;;Competitive;13.07.2026
10514/01/53;0;222;;;;Neutral;13.07.2026
10514/01/61;0;103;;;;Neutral;13.07.2026
10514/01/65;0;199;;;;Neutral;13.07.2026
10516/01/33;0;38;15/10/2026;;;Competitive;13.07.2026
